"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001802594241",532063,181251,51.5147568,-0.0981537,"E00000024","E01032739","E02000001","E05009293","Bread Street","CITY OF LONDON",1159799.71803645,342.761016845703,0,3,0,10,"Building geometry prediction"
"osgb1000001802594242",532041,181219,51.5144743,-0.0984826,"E00000024","E01032739","E02000001","E05009293","Bread Street","CITY OF LONDON",224931.723783599,84.0794677734375,0,0,0,4,"Building geometry prediction"
"osgb1000001802594243",532060,181237,51.5146317,-0.0982022,"E00000024","E01032739","E02000001","E05009293","Bread Street","CITY OF LONDON",770446.520248144,235.025497436523,0,3,0,6,"Building geometry prediction"
"osgb1000001802596470",533574,180841,51.5107172,-0.0765461,"E00190458","E01032739","E02000001","E05009310","Tower","CITY OF LONDON",846176.85075435,255.980377197266,0,0,0,1,"Building geometry prediction"
"osgb1000001802596896",533336,180984,51.5120585,-0.0799197,"E00190458","E01032739","E02000001","E05009310","Tower","CITY OF LONDON",975409.63880415,291.739562988281,0,1,0,5,"Building geometry prediction"
"osgb1000001802597624",532202.79,181536.33,51.5172883,-0.0960334,"E00000007","E01000001","E02000001","E05009288","Aldersgate","CITY OF LONDON",2107930.49710891,605.112426757812,0,0,0,2,"Building geometry prediction"
"osgb1000001802597675",532465,181289,51.5150042,-0.0923494,"E00000021","E01000002","E02000001","E05009298","Cheap","CITY OF LONDON",29595.8804544702,30.0292930603027,0,0,0,1,"Building geometry prediction"
"osgb1000001802597677",532430.34,181275.24,51.5148887,-0.0928538,"E00000021","E01000002","E02000001","E05009298","Cheap","CITY OF LONDON",3484171.17776297,985.923461914062,0,0,0,3,"Building geometry prediction"
"osgb1000001802597742",533346,181270,51.5146263,-0.0796675,"E00190458","E01032739","E02000001","E05009289","Aldgate","CITY OF LONDON",111193.01911129,52.6075325012207,0,1,0,2,"Building geometry prediction"
"osgb1000001802597743",533293,181253,51.514486,-0.0804373,"E00190458","E01032739","E02000001","E05009289","Aldgate","CITY OF LONDON",3184387.78442127,902.972290039062,0,1,0,5,"Building geometry prediction"
